ID_Venta,Fecha_Venta,Tipo_Foto,Cantidad,Precio_Unitario,CUIT_Cliente
37,20/07/2018,POLAROID_11x9,65,19.14,20-33263109-4
38,13/04/2019,POLAROID_10x10,104,13.24,20-31273204-5
39,30/07/2018,POLAROID_11x9,112,16.35,21-33782109-5
4O,27/01/2019,6R_15x20,20,16.45,20-33263109-4
41,02/08/2018,5R_13x18,128,22.82,20-22466487-4
42,23/05/2019,5R_13x18,197,17.2,20-31273204-5
43,14/04/2019,6R_15x20,7,11.43,20-11395375-5
44,10/03/2019,6R_15x20,65,15.8,20-4373950-4
45,27/03/2019,8R_20x25,118,11.98,20-11395375-5
46,26/09/2018,6R_15x20,5,17.12,20-4373950-4
47,14/04/2019,6R_15x20,82,11.11,21-33782109-5
48,09/10/2018,POLAROID_10x10,90,18.64,20-31273204-5
49,02/06/2019,4R_10x15,126,24.66,20-31273204-5
50,22/01/2019,4R_10x15,92,24.93,20-22466487-4
51,14/09/2018,4R_10x15,143,23.27,20-22466487-4
52,19/09/2018,6R_15x20,53,11.34,20-33263109-4
53,04/07/2018,5R_13x18,15,19.08,20-11395375-5
54,23/11/2018,6R_15x20,34,18.58,20-31273204-5
55,10/06/2019,6R_15x20,136,13.58,20-33263109-4
56,11/05/2019,POLAROID_10x10,117,12.9,20-22466487-4
57,21/06/2018,8R_20x25,178,21.07,21-33782109-5
58,17/08/2018,POLAROID_10x10,113,23.86,21-33782109-5
59,31/01/2019,5R_13x18,87,16.95,20-31273204-5
60,08/01/2019,4R_10x15,118,13.56,20-33263109-4
61,29/11/2018,POLAROID_10x10,34,13.21,20-4373950-4
62,02/11/2018,6R_15x20,109,20.29,20-33263109-4
63,21/07/2018,6R_15x20,51,15.78,20-11395375-5
64,24/01/2019,6R_15x20,132,23.22,20-31273204-5
65,07/10/2018,8R_20x25,61,20.48,20-33263109-4
66,08/04/2019,POLAROID_11x9,147,24.14,20-33263109-4
67,14/08/2018,POLAROID_11x9,62,18.18,20-31273204-5
68,18/09/2018,5R_13x18,117,19.57,20-11395375-5
69,19/07/2018,6R_15x20,17,17.5,20-11395375-5
70,10/04/2019,8R_20x25,41,15.88,20-31273204-5
71,02/10/2018,POLAROID_10x10,178,23.24,20-11395375-5
72,12/11/2018,POLAROID_11x9,196,12.06,20-22466487-4
73,01/02/2019,6R_15x20,108,22.7,21-33782109-5
74,27/06/2018,POLAROID_11x9,3,16.95,20-11395375-5
75,21/09/2018,5R_13x18,129,22.28,20-4373950-4
76,22/09/2018,6R_15x20,75,14.25,20-4373950-4
77,21/08/2018,POLAROID_11x9,46,24.54,20-4373950-4
78,09/11/2018,POLAROID_11x9,155,18.94,20-11395375-5
79,21/07/2018,8R_20x25,142,12.35,20-11395375-5
80,01/07/2018,6R_15x20,43,11.42,21-33782109-5
81,10/01/2019,POLAROID_10x10,125,18.91,20-4373950-4
82,19/07/2018,4R_10x15,73,14.96,20-22466487-4
83,14/09/2018,6R_15x20,69,23.53,21-33782109-5
84,12/03/2019,POLAROID_11x9,150,13.42,20-11395375-5
85,06/10/2018,POLAROID_10x10,44,12.87,20-31273204-5
86,23/11/2018,6R_15x20,67,20.86,20-4373950-4
87,19/02/2019,POLAROID_11x9,39,20.03,20-4373950-4
88,11/12/2018,POLAROID_11x9,50,16.74,20-4373950-4
89,22/06/2018,8R_20x25,103,24.83,20-31273204-5
90,10/02/2019,8R_20x25,90,20.48,20-11395375-5
91,05/02/2019,4R_10x15,34,20.28,20-4373950-4
92,12/01/2019,POLAROID_10x10,86,21.99,20-31273204-5
93,18/07/2018,4R_10x15,190,21.96,20-31273204-5
94,22/03/2019,4R_10x15,110,15.99,20-22466487-4
95,05/08/2018,8R_20x25,114,22.14,20-4373950-4
96,03/12/2018,8R_20x25,36,20.9,20-22466487-4
97,18/10/2018,POLAROID_11x9,101,15.26,20-11395375-5
98,26/10/2018,5R_13x18,5,13.74,20-22466487-4
99,23/12/2018,4R_10x15,34,16.47,20-11395375-5
100,24/11/2018,6R_15x20,101,16.25,20-33263109-4
101,11/01/2019,4R_10x15,164,12.38,20-22466487-4
102,16/12/2018,5R_13x18,136,14.4,21-33782109-5
103,27/05/2019,4R_10x15,94,22.9,20-4373950-4
104,26/07/2018,POLAROID_10x10,184,16.4,20-33263109-4
105,12/08/2018,4R_10x15,88,21.43,20-22466487-4
106,26/11/2018,5R_13x18,176,15.88,21-33782109-5
107,02/01/2019,6R_15x20,140,17.84,20-11395375-5
108,10/03/2019,8R_20x25,26,18.43,20-31273204-5
109,03/04/2019,8R_20x25,20,18.83,20-11395375-5
110,16/06/2019,POLAROID_11x9,161,24.29,20-4373950-4
111,20/05/2019,POLAROID_10x10,104,23.02,20-4373950-4
112,25/02/2019,8R_20x25,102,18.76,20-22466487-4
113,24/08/2018,POLAROID_10x10,154,16.41,20-22466487-4
114,26/07/2018,8R_20x25,167,23.92,21-33782109-5
115,31/10/2018,4R_10x15,45,14.45,20-31273204-5
116,04/08/2018,5R_13x18,174,23.33,20-22466487-4
117,21/01/2019,5R_13x18,39,18.66,20-22466487-4
118,08/04/2019,4R_10x15,50,14.39,20-11395375-5
119,13/08/2018,POLAROID_10x10,176,20.56,20-31273204-5
120,16/05/2019,4R_10x15,166,15.84,20-4373950-4
121,28/10/2018,8R_20x25,122,20.8,21-33782109-5
122,18/12/2018,POLAROID_11x9,7,19.8,20-4373950-4
123,06/06/2019,5R_13x18,123,16.42,21-33782109-5
124,25/05/2019,4R_10x15,146,15.81,20-22466487-4
125,02/04/2019,POLAROID_11x9,32,11.17,20-4373950-4
126,01/01/2019,4R_10x15,15,21.36,20-31273204-5
127,28/11/2018,POLAROID_11x9,93,15.11,20-33263109-4
128,26/09/2018,POLAROID_11x9,181,13.17,20-31273204-5
129,18/11/2018,8R_20x25,186,17.67,20-4373950-4
130,25/03/2019,6R_15x20,178,23.41,20-4373950-4
131,06/08/2018,8R_20x25,84,16.48,20-33263109-4
132,14/03/2019,8R_20x25,194,13.06,20-11395375-5
133,01/06/2019,4R_10x15,109,22.89,20-11395375-5
134,17/10/2018,4R_10x15,134,24.81,20-31273204-5
135,05/04/2019,POLAROID_10x10,9,18.54,20-33263109-4
136,09/10/2018,8R_20x25,187,24.01,20-4373950-4
137,06/03/2019,POLAROID_11x9,160,18.79,20-11395375-5
138,04/10/2018,4R_10x15,196,12.79,20-22466487-4
139,11/09/2018,POLAROID_10x10,145,19.24,20-11395375-5
140,20/01/2019,POLAROID_10x10,165,21.74,20-4373950-4
141,20/10/2018,5R_13x18,40,16.25,20-11395375-5
142,09/07/2018,6R_15x20,192,17.23,20-31273204-5
143,30/01/2019,6R_15x20,132,17.03,20-33263109-4
144,08/01/2019,POLAROID_11x9,40,24.89,20-31273204-5
145,02/08/2018,4R_10x15,29,16.62,20-4373950-4
146,14/05/2019,6R_15x20,17,14.51,20-22466487-4
147,29/12/2018,6R_15x20,176,14.73,20-33263109-4
148,15/01/2019,6R_15x20,14,12.28,20-22466487-4
149,27/06/2018,5R_13x18,184,11.67,20-4373950-4
150,02/08/2018,4R_10x15,19,21.17,20-31273204-5
151,19/11/2018,6R_15x20,74,19.61,20-11395375-5
152,22/06/2018,POLAROID_11x9,115,21.46,20-31273204-5
153,20/09/2018,POLAROID_10x10,91,17.12,20-31273204-5
154,26/07/2018,4R_10x15,111,21.62,20-31273204-5
155,05/12/2018,POLAROID_10x10,27,12.77,20-33263109-4
156,25/06/2018,POLAROID_11x9,198,16.67,20-4373950-4
157,17/03/2019,5R_13x18,5,13.87,21-33782109-5
158,22/07/2018,8R_20x25,87,24.13,20-4373950-4
159,08/10/2018,8R_20x25,62,18.14,20-11395375-5
160,04/12/2018,5R_13x18,117,19.73,20-33263109-4
161,08/06/2019,POLAROID_10x10,56,16.59,20-4373950-4
162,23/10/2018,POLAROID_11x9,174,12.22,21-33782109-5
163,27/01/2019,POLAROID_10x10,142,18.68,20-11395375-5
164,28/06/2018,5R_13x18,67,23.47,20-4373950-4
165,04/02/2019,POLAROID_10x10,132,12.3,21-33782109-5
166,19/08/2018,POLAROID_11x9,87,13.74,20-31273204-5
167,11/06/2019,5R_13x18,11,14.55,20-4373950-4
168,23/07/2018,POLAROID_11x9,22,21.82,20-22466487-4
169,18/05/2019,POLAROID_10x10,124,21.28,20-33263109-4
170,26/07/2018,8R_20x25,92,14.16,20-33263109-4
171,11/02/2019,POLAROID_11x9,157,23.37,20-11395375-5
172,28/11/2018,5R_13x18,132,23.42,20-31273204-5
173,01/11/2018,6R_15x20,171,13.27,20-31273204-5
174,28/12/2018,8R_20x25,19,15.75,20-4373950-4
175,14/01/2019,6R_15x20,149,24.45,21-33782109-5
176,21/06/2018,4R_10x15,167,19.2,20-22466487-4
177,24/04/2019,6R_15x20,2,17.27,20-31273204-5
178,16/10/2018,8R_20x25,86,15.92,20-11395375-5
179,25/09/2018,4R_10x15,121,15.26,20-11395375-5
180,17/03/2019,POLAROID_11x9,196,16.57,20-22466487-4
181,18/07/2018,8R_20x25,7,13.01,21-33782109-5
182,17/02/2019,4R_10x15,52,13.54,20-4373950-4
183,19/04/2019,POLAROID_10x10,155,20.66,20-11395375-5
184,16/08/2018,5R_13x18,83,13.63,20-11395375-5
185,21/03/2019,6R_15x20,4,23.37,21-33782109-5
186,06/08/2018,4R_10x15,166,16.3,20-4373950-4
187,19/03/2019,6R_15x20,180,13.43,20-33263109-4
188,02/02/2019,8R_20x25,87,17.24,20-11395375-5
189,05/08/2018,POLAROID_11x9,99,23.93,20-11395375-5
190,20/07/2018,5R_13x18,49,24.45,21-33782109-5
191,13/12/2018,6R_15x20,91,14.43,20-33263109-4
192,18/09/2018,4R_10x15,121,17.75,21-33782109-5
193,20/01/2019,8R_20x25,59,14.36,20-11395375-5
194,02/01/2019,8R_20x25,194,20.67,20-33263109-4
195,24/03/2019,8R_20x25,48,11.66,20-4373950-4
196,02/02/2019,4R_10x15,99,14.69,20-33263109-4
197,19/10/2018,5R_13x18,112,13.03,20-33263109-4
198,07/06/2019,POLAROID_11x9,200,18.68,21-33782109-5
199,06/04/2019,5R_13x18,184,21.24,20-22466487-4
200,10/05/2019,5R_13x18,87,12.88,21-33782109-5
201,13/05/2019,4R_10x15,57,21.43,20-11395375-5
202,05/10/2018,5R_13x18,92,22.68,20-33263109-4
203,06/01/2019,4R_10x15,78,22.44,20-22466487-4
204,07/07/2018,8R_20x25,55,24.45,20-33263109-4
205,17/03/2019,POLAROID_10x10,7,19.22,20-31273204-5
206,30/07/2018,5R_13x18,83,13.15,20-31273204-5
207,18/03/2019,6R_15x20,41,19.26,20-4373950-4
208,27/03/2019,4R_10x15,131,18.32,20-11395375-5
209,08/03/2019,8R_20x25,137,17.48,20-4373950-4
210,24/04/2019,6R_15x20,79,16.59,20-33263109-4
211,12/07/2018,POLAROID_10x10,5,24.74,20-11395375-5
212,04/04/2019,8R_20x25,116,15.54,20-22466487-4
213,02/02/2019,6R_15x20,108,14.15,20-33263109-4
214,23/02/2019,4R_10x15,69,22.04,20-31273204-5
215,28/04/2019,6R_15x20,46,13.32,20-31273204-5
216,25/02/2019,5R_13x18,79,19.95,21-33782109-5
217,09/09/2018,6R_15x20,95,16.13,20-31273204-5
218,30/04/2019,5R_13x18,35,20.47,20-4373950-4
219,05/10/2018,8R_20x25,1,18.83,20-31273204-5
220,24/01/2019,4R_10x15,49,21.6,20-22466487-4
221,22/08/2018,4R_10x15,30,24.45,20-4373950-4
222,15/02/2019,6R_15x20,52,20.96,20-11395375-5
223,26/11/2018,POLAROID_11x9,109,23.03,20-22466487-4
224,02/06/2019,6R_15x20,99,23.02,20-4373950-4
225,03/01/2019,POLAROID_10x10,134,16.59,20-22466487-4
226,06/06/2019,6R_15x20,151,13.19,20-31273204-5
227,22/07/2018,POLAROID_10x10,2,22.38,20-22466487-4
228,08/05/2019,POLAROID_10x10,148,22.59,20-11395375-5
229,27/01/2019,6R_15x20,19,21.06,20-31273204-5
230,24/10/2018,5R_13x18,189,24.79,21-33782109-5
231,18/11/2018,6R_15x20,16,22.16,20-22466487-4
232,13/12/2018,POLAROID_11x9,34,16.4,20-33263109-4
233,26/05/2019,8R_20x25,34,12.91,20-4373950-4
234,14/11/2018,POLAROID_11x9,187,17.32,20-33263109-4
235,25/06/2018,POLAROID_10x10,153,12.78,20-33263109-4
236,06/07/2018,6R_15x20,5,17.15,20-4373950-4
237,09/07/2018,5R_13x18,98,22.32,20-22466487-4
238,23/02/2019,8R_20x25,144,11.39,20-22466487-4
239,26/03/2019,4R_10x15,4,23.85,20-11395375-5
240,14/01/2019,POLAROID_10x10,111,21.22,20-31273204-5
241,22/06/2018,POLAROID_10x10,33,23.85,20-22466487-4
242,11/05/2019,POLAROID_11x9,82,21.69,20-22466487-4
243,06/05/2019,6R_15x20,68,19.85,20-4373950-4
244,24/01/2019,6R_15x20,31,16.96,20-33263109-4
245,21/09/2018,POLAROID_10x10,70,11.33,20-11395375-5
246,24/01/2019,4R_10x15,135,19.67,20-11395375-5
247,23/09/2018,POLAROID_11x9,90,18.53,20-31273204-5
248,03/04/2019,POLAROID_11x9,91,11.89,20-33263109-4
249,23/01/2019,8R_20x25,153,14.84,20-11395375-5
250,18/09/2018,4R_10x15,173,23.25,20-11395375-5
251,10/11/2018,6R_15x20,36,22.54,20-4373950-4
252,09/07/2018,POLAROID_11x9,30,19.05,20-11395375-5
253,27/05/2019,6R_15x20,119,16.33,20-22466487-4
254,06/11/2018,POLAROID_10x10,14,15.88,20-11395375-5
255,23/01/2019,POLAROID_11x9,199,19.06,21-33782109-5
256,09/03/2019,POLAROID_10x10,138,17.78,20-22466487-4
257,08/07/2018,8R_20x25,119,15.42,20-22466487-4
258,07/12/2018,5R_13x18,92,13.1,20-31273204-5
259,14/02/2019,5R_13x18,158,23.27,20-4373950-4
260,30/09/2018,POLAROID_10x10,96,24.36,20-33263109-4
261,29/04/2019,8R_20x25,70,13.39,20-31273204-5
262,11/12/2018,5R_13x18,49,22.1,21-33782109-5
263,29/08/2018,5R_13x18,5,17.64,20-33263109-4
264,25/07/2018,8R_20x25,146,22.62,20-4373950-4
265,31/12/2018,POLAROID_10x10,56,23.4,20-31273204-5
266,06/01/2019,POLAROID_11x9,112,15.16,20-22466487-4
267,25/10/2018,POLAROID_10x10,5,18.25,20-11395375-5
268,04/01/2019,POLAROID_11x9,4,19.21,20-11395375-5
269,24/06/2018,POLAROID_10x10,33,18.13,20-4373950-4
270,06/12/2018,8R_20x25,68,17.65,20-31273204-5
271,17/06/2019,5R_13x18,44,15.71,21-33782109-5
272,07/08/2018,4R_10x15,106,14.15,20-11395375-5
273,11/02/2019,POLAROID_10x10,43,24.92,20-11395375-5
274,05/02/2019,4R_10x15,150,21.21,21-33782109-5
275,22/08/2018,POLAROID_10x10,36,16.83,20-4373950-4
276,25/06/2018,8R_20x25,135,22.26,20-4373950-4
277,06/02/2019,4R_10x15,10,21.97,20-22466487-4
278,12/05/2019,6R_15x20,182,21.21,20-31273204-5
279,26/05/2019,POLAROID_10x10,145,24.84,20-4373950-4
280,06/04/2019,4R_10x15,161,23.61,20-33263109-4
281,23/03/2019,POLAROID_10x10,128,18.42,20-4373950-4
282,21/03/2019,POLAROID_10x10,200,13.68,20-4373950-4
283,09/04/2019,POLAROID_10x10,140,15.61,20-33263109-4
284,19/03/2019,POLAROID_10x10,46,11.25,20-22466487-4
285,13/09/2018,POLAROID_10x10,135,13.63,20-22466487-4
286,14/05/2019,5R_13x18,140,23.32,20-11395375-5
287,15/12/2018,POLAROID_11x9,140,23.46,20-11395375-5
288,12/03/2019,6R_15x20,80,14.29,20-33263109-4
289,14/12/2018,4R_10x15,24,16.65,20-11395375-5
290,31/05/2019,4R_10x15,104,15.49,20-4373950-4
291,03/08/2018,5R_13x18,97,24.86,20-31273204-5
292,27/10/2018,6R_15x20,85,12.68,20-4373950-4
293,11/04/2019,5R_13x18,170,17.58,20-33263109-4
294,25/01/2019,4R_10x15,187,13.69,20-11395375-5
295,04/01/2019,POLAROID_10x10,126,13.39,21-33782109-5
296,23/07/2018,POLAROID_10x10,185,17.52,20-31273204-5
297,21/10/2018,5R_13x18,11,18.94,21-33782109-5
298,14/01/2019,4R_10x15,54,14.82,20-31273204-5
299,21/09/2018,4R_10x15,67,11.07,21-33782109-5
300,23/11/2018,POLAROID_11x9,86,11.97,21-33782109-5
301,05/12/2018,POLAROID_10x10,54,19.59,20-22466487-4
302,07/05/2019,5R_13x18,155,15.66,20-4373950-4
303,30/11/2018,POLAROID_10x10,176,12.88,21-33782109-5
304,15/08/2018,6R_15x20,139,16.11,20-33263109-4
305,08/07/2018,5R_13x18,66,22.71,21-33782109-5
306,07/04/2019,POLAROID_10x10,42,24.27,21-33782109-5
307,07/12/2018,POLAROID_10x10,62,19.37,21-33782109-5
308,03/03/2019,5R_13x18,183,11.14,21-33782109-5
309,10/10/2018,8R_20x25,9,15.08,20-4373950-4
310,30/05/2019,6R_15x20,74,11.27,20-31273204-5
311,11/04/2019,5R_13x18,37,18.53,20-22466487-4
312,06/04/2019,6R_15x20,78,24.45,20-22466487-4
313,25/12/2018,8R_20x25,18,13.83,20-22466487-4
314,28/08/2018,6R_15x20,1,16.06,20-31273204-5
315,14/05/2019,6R_15x20,168,21.77,20-31273204-5
316,11/07/2018,POLAROID_10x10,131,12.35,20-22466487-4
317,23/04/2019,8R_20x25,106,18.73,20-4373950-4
318,09/10/2018,POLAROID_11x9,38,17.34,20-31273204-5
319,12/02/2019,5R_13x18,91,22.93,20-4373950-4
320,14/10/2018,POLAROID_11x9,82,15.22,20-33263109-4
321,04/03/2019,POLAROID_10x10,3,22.55,20-33263109-4
322,11/07/2018,POLAROID_11x9,14,15.46,21-33782109-5
323,05/01/2019,POLAROID_11x9,158,15.83,20-22466487-4
324,13/02/2019,4R_10x15,18,11.13,20-22466487-4
325,29/01/2019,8R_20x25,57,14.28,21-33782109-5
326,18/12/2018,4R_10x15,22,22.09,20-33263109-4
327,27/04/2019,4R_10x15,78,12.64,20-22466487-4
328,11/07/2018,5R_13x18,52,14.77,20-4373950-4
329,06/01/2019,8R_20x25,105,18.92,20-22466487-4
330,11/05/2019,POLAROID_11x9,164,22.14,21-33782109-5
331,18/10/2018,POLAROID_11x9,117,15.84,20-33263109-4
332,31/10/2018,POLAROID_10x10,78,23.39,21-33782109-5
333,07/05/2019,POLAROID_10x10,112,24.93,20-33263109-4
334,29/09/2018,POLAROID_11x9,2,16.03,20-22466487-4
335,19/06/2019,5R_13x18,35,17.61,20-11395375-5
336,24/01/2019,POLAROID_10x10,112,22.79,20-33263109-4
337,08/12/2018,POLAROID_10x10,96,12.28,21-33782109-5
338,23/05/2019,5R_13x18,144,11.55,20-22466487-4
339,23/12/2018,4R_10x15,111,19.51,20-11395375-5
340,26/09/2018,4R_10x15,200,14.2,20-31273204-5
341,01/06/2019,8R_20x25,177,24.85,20-11395375-5
342,02/05/2019,5R_13x18,62,24.63,20-22466487-4
343,20/10/2018,6R_15x20,172,13.56,21-33782109-5
344,22/02/2019,5R_13x18,39,15.74,20-4373950-4
345,15/12/2018,POLAROID_11x9,85,16.24,20-22466487-4
346,02/01/2019,6R_15x20,121,22.52,20-33263109-4
347,19/07/2018,POLAROID_10x10,9,11.84,20-11395375-5
348,29/10/2018,POLAROID_11x9,92,21.56,20-22466487-4
349,04/01/2019,POLAROID_10x10,2,17.41,21-33782109-5
350,08/06/2019,8R_20x25,54,11.83,20-33263109-4
351,10/06/2019,4R_10x15,102,16.47,20-33263109-4
352,18/08/2018,4R_10x15,63,11.03,20-33263109-4
353,08/11/2018,4R_10x15,195,11.14,20-33263109-4
354,24/03/2019,POLAROID_10x10,96,20.31,20-22466487-4
355,25/09/2018,5R_13x18,37,15.56,21-33782109-5
356,06/07/2018,4R_10x15,128,12.96,20-22466487-4
357,08/02/2019,6R_15x20,106,12.14,20-31273204-5
358,07/11/2018,4R_10x15,95,18.78,20-22466487-4
359,21/12/2018,6R_15x20,83,11.49,20-22466487-4
360,06/06/2019,POLAROID_10x10,55,16.31,20-33263109-4
361,27/05/2019,5R_13x18,39,22.56,20-22466487-4
362,05/11/2018,8R_20x25,19,23.85,20-31273204-5
363,03/04/2019,6R_15x20,7,16.76,20-4373950-4
364,13/10/2018,POLAROID_10x10,152,14.48,20-33263109-4
365,10/12/2018,5R_13x18,105,22.61,20-33263109-4
366,12/02/2019,6R_15x20,94,18.75,20-4373950-4
367,06/11/2018,4R_10x15,168,16.88,20-11395375-5
368,09/05/2019,8R_20x25,148,15.88,20-22466487-4
369,08/09/2018,POLAROID_11x9,166,14.23,20-31273204-5
370,05/12/2018,8R_20x25,35,19.27,20-4373950-4
371,14/04/2019,6R_15x20,7,13.87,21-33782109-5
372,27/04/2019,8R_20x25,163,14.29,20-4373950-4
373,28/10/2018,6R_15x20,150,12.53,20-22466487-4
374,12/05/2019,POLAROID_11x9,145,14.77,20-4373950-4
375,28/03/2019,4R_10x15,25,19.2,20-11395375-5
376,07/04/2019,POLAROID_11x9,171,12.03,20-22466487-4
377,06/03/2019,4R_10x15,1,14.6,20-22466487-4
378,07/02/2019,6R_15x20,168,15.27,20-11395375-5
379,20/02/2019,POLAROID_11x9,159,11.5,21-33782109-5
380,24/08/2018,POLAROID_11x9,91,15.84,20-4373950-4
381,15/05/2019,5R_13x18,133,24.66,20-33263109-4
382,17/01/2019,POLAROID_11x9,34,20.07,21-33782109-5
383,11/12/2018,5R_13x18,178,24.63,20-11395375-5
384,26/10/2018,6R_15x20,9,24.63,20-4373950-4
385,26/11/2018,POLAROID_11x9,66,22.95,21-33782109-5
386,26/02/2019,5R_13x18,126,24.42,20-33263109-4
387,16/08/2018,8R_20x25,162,23.78,20-31273204-5
388,09/08/2018,5R_13x18,70,12.28,20-4373950-4
389,04/12/2018,4R_10x15,154,11.85,21-33782109-5
390,28/04/2019,POLAROID_10x10,173,16.68,20-22466487-4
391,27/09/2018,5R_13x18,198,13.29,20-33263109-4
392,06/06/2019,6R_15x20,42,13.9,20-4373950-4
393,21/03/2019,6R_15x20,62,11.33,20-33263109-4
394,12/06/2019,POLAROID_11x9,27,17.39,21-33782109-5
395,10/07/2018,POLAROID_10x10,173,24.33,20-22466487-4
396,19/05/2019,POLAROID_11x9,192,12.07,20-22466487-4
397,12/08/2018,POLAROID_11x9,72,16.81,20-11395375-5
398,14/06/2019,POLAROID_11x9,187,13.95,20-4373950-4
399,25/10/2018,8R_20x25,187,15.46,20-11395375-5
400,22/03/2019,POLAROID_11x9,145,23.17,20-31273204-5
401,02/07/2018,6R_15x20,112,20.48,20-4373950-4
402,03/01/2019,8R_20x25,182,14.11,20-33263109-4
403,06/01/2019,5R_13x18,133,11.43,21-33782109-5
404,22/07/2018,8R_20x25,175,23.38,20-33263109-4
405,05/10/2018,8R_20x25,129,15.13,20-33263109-4
406,16/12/2018,8R_20x25,49,23.14,20-4373950-4
407,26/09/2018,POLAROID_10x10,150,21.24,20-31273204-5
408,23/06/2018,POLAROID_10x10,71,17.81,20-31273204-5
409,07/05/2019,5R_13x18,172,18.38,20-11395375-5
410,12/01/2019,POLAROID_11x9,53,22.38,20-11395375-5
411,17/01/2019,4R_10x15,128,18.58,20-33263109-4
412,04/07/2018,POLAROID_11x9,113,24.48,20-11395375-5
413,01/02/2019,5R_13x18,145,18.28,20-33263109-4
414,06/06/2019,5R_13x18,121,24.5,21-33782109-5
415,10/05/2019,4R_10x15,146,15.25,21-33782109-5
416,17/10/2018,5R_13x18,51,23.48,20-22466487-4
417,30/10/2018,POLAROID_10x10,30,22.61,20-4373950-4
418,24/05/2019,4R_10x15,188,12.2,20-22466487-4
419,21/09/2018,6R_15x20,196,20.73,21-33782109-5
420,07/07/2018,POLAROID_11x9,82,22.41,20-11395375-5
421,14/07/2018,6R_15x20,35,14.74,20-33263109-4
422,25/03/2019,8R_20x25,154,13.41,20-22466487-4
423,08/01/2019,6R_15x20,98,12.3,20-33263109-4
424,02/12/2018,8R_20x25,146,20.31,21-33782109-5
425,19/09/2018,POLAROID_10x10,116,17.21,20-22466487-4
426,20/07/2018,8R_20x25,176,19.34,20-11395375-5
427,12/04/2019,POLAROID_10x10,66,18.24,21-33782109-5
428,21/05/2019,4R_10x15,169,17.98,20-4373950-4
429,10/02/2019,4R_10x15,193,24.92,21-33782109-5
430,06/03/2019,4R_10x15,3,20.33,20-4373950-4
431,31/05/2019,8R_20x25,66,15.56,21-33782109-5
432,29/06/2018,8R_20x25,1,20.45,20-33263109-4
433,23/05/2019,POLAROID_10x10,48,17.49,20-4373950-4
434,21/08/2018,5R_13x18,200,20.99,20-22466487-4
435,22/06/2018,8R_20x25,38,24.18,20-22466487-4
436,09/07/2018,5R_13x18,92,16.3,20-22466487-4
437,15/03/2019,POLAROID_11x9,200,19.65,20-33263109-4
438,15/03/2019,8R_20x25,122,15.64,21-33782109-5
439,31/07/2018,POLAROID_11x9,62,13.3,20-31273204-5
440,15/12/2018,4R_10x15,92,17.21,20-33263109-4
441,27/08/2018,8R_20x25,52,22.72,20-11395375-5
442,14/02/2019,6R_15x20,170,16.11,20-22466487-4
443,23/12/2018,6R_15x20,106,20.69,20-31273204-5
444,02/08/2018,POLAROID_11x9,124,21.08,20-33263109-4
445,07/09/2018,8R_20x25,178,11.64,20-33263109-4
446,11/09/2018,POLAROID_10x10,178,22.63,21-33782109-5
447,01/06/2019,5R_13x18,73,13.76,20-31273204-5
448,24/01/2019,5R_13x18,103,20.35,20-22466487-4
